Category,Title,Company,URL,Grade,Salary_min,Salary_max,Skills,City_List,Is_Remote
Python,Middle-Senior Python Developer,Yota-X,https://jobs.dou.ua/companies/yota-x-studio/vacancies/291396/?from=list_hot,Middle,,,Not Specified,['Remote Only'],True
Python,Senior Backend Engineer,IGIS,https://jobs.dou.ua/companies/igis/vacancies/334488/?from=list_hot,Senior,,,Not Specified,['Київ'],True
Python,"Founding Software Engineer, Data Platform",Lemon.io,https://jobs.dou.ua/companies/lemon-io/vacancies/351998/?from=list_hot,Not Specified,,,Not Specified,['Remote Only'],True
Python,Python Engineer (Aerospace / Computer Vision / Embedded AI),EPAM,https://jobs.dou.ua/companies/epam-systems/vacancies/349583/?from=list_hot,Not Specified,,,Not Specified,['Київ'],False
Python,Senior Python Developer,SAMAWATT SA,https://jobs.dou.ua/companies/samawatt-sa/vacancies/340628/?from=list_hot,Senior,5000.0,7000.0,Not Specified,['Remote Only'],True
Python,"AI engineer (Python, Data Science, ML)",HRAVITY,https://jobs.dou.ua/companies/hravity/vacancies/345751/,Not Specified,,,Not Specified,['Remote Only'],True
Python,Middle Python Developer,COAX Software,https://jobs.dou.ua/companies/coaxsoftware/vacancies/354011/,Middle,,,Not Specified,['Івано-Франківськ'],False
Python,"Senior Pyton Backend Developer (Contract, Remote)",INFUSE,https://jobs.dou.ua/companies/infuse/vacancies/354001/,Senior,,,Not Specified,['Remote Only'],True
Python,"Python AI Developer (RAG, LLM, Claude)",CyberCraft,https://jobs.dou.ua/companies/cybercraft/vacancies/353983/,Not Specified,,,Not Specified,['Львів'],True
Python,Senior Python Automation QA Engineer IRC290815,GlobalLogic,https://jobs.dou.ua/companies/globallogic/vacancies/353981/,Senior,,,Not Specified,['Remote Only'],True
Python,Python Automation QA Engineer IRC290978,GlobalLogic,https://jobs.dou.ua/companies/globallogic/vacancies/353978/,Not Specified,,,Not Specified,['Львів'],False
Python,Full-Stack Developer — Vision Pipeline & UI,Data Science UA,https://jobs.dou.ua/companies/data-science-ua/vacancies/353965/,Not Specified,,,Not Specified,['Київ'],True
Python,Senior Python Engineer (2636),Ciklum,https://jobs.dou.ua/companies/ciklum/vacancies/353941/,Senior,,,Not Specified,"['Київ', 'Львів']",True
